Rank,City,Average House Price,Average Rent,Region in the US,Median Income
1,"Los Altos, CA","$4,404,300","$5,822",West,"$171,050"
2,"Sunnyvale, CA","$2,506,400","$4,941",West,"$139,960"
3,"Mountain View, CA","$2,324,400","$4,819",West,"$130,590"
4,"Santa Clara, CA","$1,759,700","$4,536",West,"$126,680"
5,"Irvine, CA","$1,402,100","$4,291",West,"$117,960"
6,"San Francisco, CA","$1,381,700","$4,999",West,"$117,580"
7,"San Jose, CA","$1,345,000","$4,622",West,"$114,620"
8,"Fremont, CA","$1,336,600","$4,214",West,"$57,520"
9,"Newark, CA","$1,310,400","$4,115",West,"$57,510"
10,"Hayward, CA","$1,221,500","$3,861",West,"$57,500"
11,"Anaheim, CA","$1,188,000","$3,922",West,"$95,280"
12,"Anaheim, CA","$1,188,000","$3,922",West,"$57,580"
13,"Honolulu, HI","$1,150,400","$3,749",West,"$98,620"
14,"San Diego, CA","$997,700","$3,803",West,"$89,550"
15,"Seattle, WA","$962,000","$3,495",West,"$97,350"
16,"Boston, MA","$901,200","$3,879",New England,"$107,060"
17,"Scottsdale, AZ","$770,600","$2,643",West,"$58,760"
18,"Glendale, CA","$765,700","$2,782",West,"$57,790"
19,"Austin, TX","$734,700","$3,219",South,"$79,500"
20,"Austin, TX","$734,700","$3,219",South,"$79,500"
21,"Chula Vista, CA","$721,400","$2,690",West,"$57,550"
22,"Washington, D.C.","$714,900","$3,205",South,"$98,490"
23,"Rancho Cucamonga, CA","$707,100","$2,650",West,"$57,530"
24,"Denver, CO","$684,300","$3,307",West,"$83,410"
25,"Santa Rosa, CA","$679,400","$2,510",West,"$57,610"
26,"Long Beach, CA","$671,500","$2,495",West,"$57,810"
27,"Jersey City, NJ","$628,200","$2,900",Mid Atlantic,"$57,820"
28,"Miami, FL","$627,200","$3,179",South,"$63,350"
29,"Portland, OR","$622,600","$3,105",West,"$76,880"
30,"Oxnard, CA","$618,200","$2,388",West,"$57,560"
31,"Salinas, CA","$602,000","$2,363",West,"$57,490"
32,"Moreno Valley, CA","$557,300","$2,232",West,"$57,450"
33,"Lancaster, CA","$542,500","$2,170",West,"$57,470"
34,"Phoenix, AZ","$530,100","$2,615",West,"$65,710"
35,"Fontana, CA","$527,000","$2,119",West,"$57,540"
36,"Riverside, CA","$515,800","$2,101",West,"$58,730"
37,"Riverside, CA","$515,800","$2,101",West,"$57,590"
38,"Dallas, TX","$500,400","$2,543",South,"$65,210"
39,"Palmdale, CA","$495,600","$2,023",West,"$57,460"
40,"Philadelphia, PA","$486,200","$2,508",Mid Atlantic,"$61,930"
41,"Modesto, CA","$469,100","$1,990",West,"$57,570"
42,"Durham, NC","$458,900","$1,799",South,"$78,260"
43,"Visalia, CA","$457,300","$1,901",West,"$57,480"
44,"Cary, NC","$448,400","$1,904",South,"$57,630"
45,"Yonkers, NY","$441,000","$2,054",Northeast,"$57,780"
46,"Newark, NJ","$434,500","$2,061",Mid Atlantic,"$57,860"
47,"Raleigh, NC","$428,800","$1,644",South,"$79,780"
