year,gross,popularity,imdb_score,vote_average,genre
1938,34293771,0.5,5.5,4.8,Action
1948,90356857,5.3,7.1,7.3,Action
1954,269061,39.8,8.7,8.2,Action
1962,12196535,30.3,6.4,7.2,Action
1963,35550000,27.9,7.6,7.0,Action
1964,27300000,43.3,7.9,7.4,Action
1965,63600000,31.0,7.0,6.5,Action
1966,330249062,9.8,6.9,6.1,Action
1967,43100000,28.7,6.9,6.5,Action
1968,37553932,49.3,6.7,8.1,Action
1970,124841160,19.5,6.3,6.4,Action
1971,134607826,23.8,6.0,6.3,Action
1972,164864108,17.0,6.0,6.3,Action
1973,131807826,19.0,6.1,5.8,Action
1974,8326035,30.2,5.5,6.3,Action
1975,39985328,67.0,6.2,7.0,Action
1976,25000000,12.3,6.8,6.6,Action
1977,52466754,12.9,6.8,6.6,Action
1978,165624531,24.6,6.7,6.4,Action
1979,138578670,45.5,7.0,6.6,Action
1980,104891347,38.0,7.2,7.5,Action
1981,83511551,23.2,6.9,6.1,Action
1982,64822363,22.7,5.6,6.2,Action
1983,141685856,29.4,7.1,6.3,Action
1984,65300366,30.5,6.1,6.7,Action
1985,83175269,12.8,7.0,6.2,Action
1986,106608771,30.7,6.0,6.4,Action
1987,67844027,21.4,6.1,5.9,Action
1988,64295571,22.5,6.7,6.5,Action
1989,89075148,21.4,6.8,6.3,Action
1990,91586526,27.6,6.7,6.5,Action
1991,85940342,19.9,6.1,5.9,Action
1992,67637493,28.0,6.4,6.3,Action
1993,73733410,17.3,6.4,5.9,Action
1994,57001545,16.8,5.9,5.7,Action
1995,67501810,23.7,6.1,6.1,Action
1996,85556925,22.0,6.3,5.8,Action
1997,80097934,24.5,6.0,5.8,Action
1998,85597649,21.9,6.5,6.3,Action
1999,69602254,22.7,6.1,6.2,Action
2000,66056106,18.4,6.2,5.9,Action
2001,68997906,19.9,6.1,5.9,Action
2002,99957139,28.1,6.1,5.9,Action
2003,93069120,38.1,6.4,6.0,Action
2004,61581762,29.8,6.4,6.2,Action
2005,72686066,27.3,6.1,5.9,Action
2006,83337409,31.1,6.3,6.1,Action
2007,124396503,33.4,6.4,6.0,Action
2008,87942866,37.0,6.4,6.2,Action
2009,97754619,31.9,6.3,6.1,Action
2010,68219979,34.3,6.2,6.1,Action
2011,72434092,36.5,6.2,6.0,Action
2012,104556976,44.2,6.6,6.1,Action
2013,88362160,40.4,6.4,6.0,Action
2014,100905095,71.8,6.3,6.0,Action
2015,95626184,93.1,6.5,6.1,Action
2016,100277082,64.7,6.5,5.9,Action
1938,34293771,0.5,5.5,4.8,Adventure
1939,22202612,67.4,8.1,7.4,Adventure
1948,2956000,0.9,7.1,6.6,Adventure
1953,5000000,2.0,6.7,6.7,Adventure
1954,269061,39.8,8.7,8.2,Adventure
1957,27200000,23.1,8.2,7.7,Adventure
1961,31051126,2.9,6.7,6.8,Adventure
1962,11033517,45.1,7.8,7.4,Adventure
1963,35550000,27.9,7.6,7.0,Adventure
1964,51100000,47.8,7.8,7.2,Adventure
1965,31807436,17.3,6.9,6.4,Adventure
1966,330249062,9.8,6.9,6.1,Adventure
1967,43100000,28.7,6.9,6.5,Adventure
1968,56715371,86.2,8.3,7.9,Adventure
1969,37877959,15.0,7.1,7.6,Adventure
1970,180011740,24.4,5.7,6.2,Adventure
1971,134607826,23.8,6.0,6.3,Adventure
1972,180011740,18.8,5.7,6.1,Adventure
1973,131807826,19.0,6.1,5.8,Adventure
1974,39552600,2.7,6.1,6.1,Adventure
1975,34739561,40.5,5.6,7.3,Adventure
1976,25500305,42.2,5.4,7.0,Adventure
1977,36981270,13.4,6.5,6.7,Adventure
1978,111792859,17.9,6.1,6.1,Adventure
1979,137672646,24.6,7.5,6.4,Adventure
1980,107171155,34.2,7.0,6.7,Adventure
1981,53441973,17.3,6.6,6.3,Adventure
1982,76081660,20.2,6.3,6.4,Adventure
1983,107853759,26.3,7.1,6.6,Adventure
1984,73187069,27.2,6.6,6.5,Adventure
1985,105117873,37.2,7.1,6.6,Adventure
1986,80903897,23.7,5.8,5.9,Adventure
1987,65950198,18.6,6.0,5.5,Adventure
1988,113624636,32.5,6.7,6.5,Adventure
1989,126920850,32.2,6.9,6.4,Adventure
1990,119051955,17.3,6.8,6.7,Adventure
1991,114650222,17.6,6.2,6.0,Adventure
1992,144556219,63.7,7.0,6.5,Adventure
1993,95119393,18.6,6.3,6.1,Adventure
1994,104997243,21.7,6.5,6.1,Adventure
1995,119575857,30.3,6.4,6.4,Adventure
1996,108330589,21.8,6.5,6.0,Adventure
1997,104550870,29.8,6.3,6.0,Adventure
1998,107876223,20.8,6.5,6.0,Adventure
1999,88021365,19.1,6.6,6.3,Adventure
2000,76601234,17.0,6.2,5.9,Adventure
2001,82786991,27.7,6.3,6.1,Adventure
2002,119420517,29.4,6.5,6.1,Adventure
2003,125258205,30.9,6.5,6.1,Adventure
2004,101806375,28.0,6.6,6.2,Adventure
2005,98385177,30.5,6.3,6.0,Adventure
2006,91792323,32.6,6.4,6.1,Adventure
2007,162292916,39.9,6.8,6.1,Adventure
2008,112876893,33.0,6.4,6.0,Adventure
2009,137649323,40.4,6.6,6.3,Adventure
2010,149091879,42.7,6.7,6.1,Adventure
2011,114685797,38.0,6.5,6.2,Adventure
2012,162799816,54.5,6.9,6.2,Adventure
2013,142877002,46.2,6.7,6.2,Adventure
2014,139446663,87.5,6.8,6.2,Adventure
2015,125121967,75.5,6.8,6.2,Adventure
2016,149681233,75.8,6.8,5.9,Adventure
2017,292979556,0.7,8.3,7.4,Adventure
1937,184925485,80.2,7.7,6.9,Animation
1940,72403614,39.4,7.4,7.0,Animation
1942,102797150,47.7,7.4,6.8,Animation
1961,31051126,2.9,6.7,6.8,Animation
1976,26000610,72.2,4.1,7.5,Animation
1986,198332128,67.7,6.5,7.7,Animation
1987,237282182,6.9,7.2,6.7,Animation
1988,90339906,29.6,7.8,7.2,Animation
1990,177343675,2.2,6.7,7.1,Animation
1992,187345311,84.4,7.0,6.6,Animation
1993,669276,2.4,7.2,6.8,Animation
1994,422783777,90.5,8.5,8.0,Animation
1995,217723104,26.7,7.0,6.7,Animation
1996,126182379,21.4,7.2,6.1,Animation
1997,21386256,36.8,7.5,7.6,Animation
1998,123691576,17.2,6.9,6.0,Animation
1999,131451839,26.5,7.2,6.5,Animation
2000,84787710,17.5,6.6,6.0,Animation
2001,91254296,36.1,6.7,6.5,Animation
2002,105018446,28.5,6.5,6.4,Animation
2003,91356837,27.2,6.8,6.6,Animation
2004,135865750,24.4,6.8,6.2,Animation
2005,84792260,27.7,6.3,6.3,Animation
2006,119863817,25.7,6.4,5.9,Animation
2007,145399587,30.2,7.0,6.1,Animation
2008,126242164,22.4,6.8,6.2,Animation
2009,118546873,39.4,6.9,6.6,Animation
2010,224329714,41.5,7.3,6.2,Animation
2011,140203275,22.7,6.4,6.0,Animation
2012,173294557,44.1,7.3,6.5,Animation
2013,159739623,40.7,6.6,6.2,Animation
2014,156939767,49.9,7.1,6.8,Animation
2015,155625905,107.5,6.7,6.5,Animation
2016,205756255,33.6,7.2,6.0,Animation
2017,292979556,0.7,8.3,7.4,Animation
1938,34293771,0.5,5.5,4.8,Biography
1962,6000000,41.3,8.4,7.8,Biography
1963,57750000,13.2,7.0,6.7,Biography
1965,85607143,20.5,7.3,7.0,Biography
1969,37877959,15.0,7.1,7.6,Biography
1976,96917897,17.2,7.7,7.7,Biography
1977,94125426,6.1,7.0,6.3,Biography
1979,36500000,26.4,7.6,7.2,Biography
1980,27315083,15.3,6.8,6.6,Biography
1981,39293978,10.7,7.2,6.9,Biography
1982,5990075,1.1,8.0,5.0,Biography
1984,51600000,31.8,8.3,7.8,Biography
1985,87100000,13.9,7.2,7.0,Biography
1987,54648731,12.9,7.4,7.0,Biography
1988,32041802,11.0,6.8,6.6,Biography
1989,40081398,15.3,7.4,7.0,Biography
1990,46836394,63.7,8.7,8.2,Biography
1991,35183792,10.8,7.2,6.7,Biography
1992,41574631,9.8,7.1,6.6,Biography
1993,50849821,32.6,7.7,7.2,Biography
1994,37713829,15.2,7.5,6.7,Biography
1995,30808740,19.0,7.0,6.6,Biography
1996,21329252,6.3,6.8,6.4,Biography
1997,20226110,13.4,6.8,6.9,Biography
1998,37438191,14.5,6.8,6.2,Biography
1999,17660270,14.1,7.4,7.0,Biography
2000,47932583,14.1,7.2,6.7,Biography
2001,44323149,14.3,7.2,6.6,Biography
2002,38413806,20.7,7.3,6.8,Biography
2003,20130637,6.2,7.4,7.1,Biography
2004,25822202,18.0,7.1,6.5,Biography
2005,12374688,13.9,6.8,6.7,Biography
2006,27653472,14.0,7.0,6.4,Biography
2007,23185035,17.2,7.3,6.5,Biography
2008,12629013,13.9,7.1,7.0,Biography
2009,38584278,15.0,7.1,6.8,Biography
2010,37191349,21.9,7.3,6.7,Biography
2011,28691103,17.8,6.8,5.9,Biography
2012,29209520,16.6,7.3,6.6,Biography
2013,55871894,36.4,7.4,7.0,Biography
2014,63768503,26.3,6.8,6.2,Biography
2015,49005172,33.9,7.3,6.6,Biography
2016,13555807,21.3,7.3,6.6,Biography
1925,114968774,0.8,7.3,7.0,Comedy
1933,2300000,1.9,7.7,6.1,Comedy
1935,3000000,3.9,7.8,7.4,Comedy
1936,163245,28.3,8.6,8.1,Comedy
1948,46656428,3.1,7.1,7.0,Comedy
1950,85911262,1.7,5.2,7.3,Comedy
1956,6241697,5.2,6.1,6.9,Comedy
1959,25000000,39.3,8.3,8.0,Comedy
1961,31051126,2.9,6.7,6.8,Comedy
1962,8326035,11.7,5.5,7.4,Comedy
1963,46300000,14.6,7.6,7.0,Comedy
